stop,C,Si,Mn,Mg,Cu,Ni,Mo,S,P,V,Cr,Ti,Sn,Al,aust_temp_C,aust_czas_min,wygrz_izoterm_temp_C,wygrz_izoterm_czas_min,wytrzym_zmecz_Mpa,osrodek,Rm_MPa,Re_MPa,K1c_MPaVm,A5_percent,HRC
ADI2,3.65,2.76,0.36,45,0.60,0.90,0,14,16,0,0,0,0,0,900,90,320,120,350,?,?,?,?,?,?
ADI2,3.65,2.76,0.36,45,0.60,0.90,0,14,16,0,0,0,0,0,900,90,360,120,270,?,?,?,?,?,?
ADI3,3.51,2.45,0.30,36,0,0,0,0.01,17,0,0,0,0,0,900,90,320,120,290,?,?,?,?,?,?
ADI3,3.51,2.45,0.30,36,0,0,0,0.01,17,0,0,0,0,0,900,90,360,120,220,?,?,?,?,?,?
ADI5,3.50,2.65,0.40,35,55,1.60,0.30,0.01,21,0.05,0,0.02,0,0,871,120,273,210,?,kapielsol,1179,1137,55.2,0.8,?
ADI5,3.50,2.65,0.40,35,55,1.60,0.30,0.01,21,0.05,0,0.02,0,0,871,120,329,150,?,kapielsol,1144,1103,63.1,1.05,?
ADI5,3.50,2.65,0.40,35,55,1.60,0.30,0.01,21,0.05,0,0.02,0,0,871,120,366,120,?,kapielsol,1010,970,54.9,1.4,?
ADI6,3.50,2.47,0.38,35,0.35,1.57,0.30,0.01,21,0.05,0.50,0.02,0,0,871,120,260,240,?,kapielsol,1438,1250,55.2,1.6,?
ADI6,3.50,2.47,0.38,35,0.35,1.57,0.30,0.01,21,0.05,0.50,0.02,0,0,871,120,288,210,?,kapielsol,1130,990,62.5,2.3,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,260,1800,?,?,1263,?,21,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,260,3600,?,?,1184,?,35.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,260,7200,?,?,1108,?,45.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,288,1800,?,?,1127,?,30.7,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927.00,7200.00,288.00,3600.00,?,?,1032,?,49.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927.00,7200.00,288.00,7200.00,?,?,968,?,63,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,316,1800,?,?,985,?,40.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,316,3600,?,?,973,?,57.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,316,7200,?,?,871,?,58,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,343,1800,?,?,946,?,38.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,343,3600,?,?,847,?,47,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,343,7200,?,?,825,?,55.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,371,1800,?,?,872,?,32.7,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,371,3600,?,?,788,?,39.6,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,371,7200,?,?,760,?,46.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,399,1800,?,?,830,?,30.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,399,3600,?,?,707,?,36.5,?,?
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.30,0.01,0.03,0,0.30,0,0,0,927,7200,399,7200,?,?,691,?,39.5,?,?
ADI13,3.40,2.69,0.19,44,0.87,0.73,0.23,0.01,0.02,0,0.04,4,7,15,900,5400,250,3600,?,kapielsol,1520,1410,?,1.8,58
ADI13,3.40,2.69,0.19,44,0.87,0.73,0.23,0.01,0.02,0,0.04,4,7,15,900,5400,325,5400,?,kapielsol,1263,880,?,3.9,49
ADI13,3.40,2.69,0.19,44,0.87,0.73,0.23,0.01,0.02,0,0.04,4,7,15,900,5400,375,5400,?,kapielsol,1075,695,?,7.1,42
ADI13,3.40,2.69,0.19,44,0.87,0.73,0.23,0.01,0.02,0,0.04,4,7,15,900,5400,425,3600,?,kapielsol,862,565,?,9.2,37
ADI11,3.60,2.45,0.32,65,0.93,1.90,0,0.02,35,0,0,0,0,0,900,120,375,150,?,kapielsol,575,950,?,8.2,27
ADI11,3.60,2.45,0.32,65,0.93,1.90,0,0.02,35,0,0,0,0,0,900,120,330,150,?,kapielsol,827,1168,?,5.6,36
ADI11,3.60,2.45,0.32,65,0.93,1.90,0,0.02,35,0,0,0,0,0,900,120,270,180,?,kapielsol,1133,1485,?,2.4,43
ADI19,3.58,2.27,0.12,37,0.50,0.46,0,8,38,0,0,0,0,0,900,120,300,120,?,kapielsol,1240,1491,?,1.27,45.8
ADI19,3.58,2.27,0.12,37,0.50,0.46,0,8,38,0,0,0,0,0,900,120,300,180,?,kapielsol,1272,1509,?,1.33,45.3
ADI19,3.58,2.27,0.12,37,0.50,0.46,0,8,38,0,0,0,0,0,900,120,350,120,?,kapielsol,832,1015,?,3.73,34.7
ADI19,3.58,2.27,0.12,37,0.50,0.46,0,8,38,0,0,0,0,0,900,120,350,120,?,kapielsol,840,1026,?,3.68,32.4
ADI20,3.62,2.48,0.16,45,0.45,0.43,0,9,25,0,0,0,0,0,900,90,300,120,?,kapielsol,1250,1373,?,0.4,44.8
ADI20,3.62,2.48,0.16,45,0.45,0.43,0,9,25,0,0,0,0,0,900,90,300,180,?,kapielsol,1268,1526,?,1.69,45.4
ADI20,3.62,2.48,0.16,45,0.45,0.43,0,9,25,0,0,0,0,0,900,90,356,120,?,kapielsol,905,1073,?,2.7,35.8
ADI20,3.62,2.48,0.16,45,0.45,0.43,0,9,25,0,0,0,0,0,900,90,356,180,?,kapielsol,913,1095,?,2.98,36.1
ADI21,3.56,2.63,0.15,47,0.44,0.45,0,0.01,25,0,0,0,0,0,900,90,300,120,?,kapielsol,1313,1543,?,1.42,46.2
ADI21,3.56,2.63,0.15,47,0.44,0.45,0,0.01,25,0,0,0,0,0,900,90,300,180,?,kapielsol,1339,1602,?,2.57,45
ADI21,3.56,2.63,0.15,47,0.44,0.45,0,0.01,25,0,0,0,0,0,900,90,359,120,?,kapielsol,921,1116,?,3.41,36.2
ADI21,3.56,2.63,0.15,47,0.44,0.45,0,0.01,25,0,0,0,0,0,900,90,359,180,?,kapielsol,924,1126,?,3.69,36.1
ADI22,0.28,0.90,0.53,0,0,0,0,0,0,0,0,0,0,0,900,120,260,120,?,kapielsol,1520,1655,?,2,?
ADI22,0.28,0.90,0.53,0,0,0,0,0,0,0,0,0,0,0,900,120,290,120,?,kapielsol,1470,1527,?,2.4,?
ADI22,0.28,0.90,0.53,0,0,0,0,0,0,0,0,0,0,0,900,120,320,90,?,kapielsol,1200,1290,?,6.7,?
ADI22,0.28,0.90,0.53,0,0,0,0,0,0,0,0,0,0,0,900,120,360,90,?,kapielsol,894,1116,?,9.6,?
