stop,C,Si,Mn,Mg,Cu,Ni,Mo,S,P,B,V,Cr,Ti,Sn,Nb,Al,aust_temp_C,aust_czas_min,wygrz_izoterm_temp_C,wygrz_izoterm_czas_min,osrodek,wytrzym_rozciag_Mpa,wydluzenie,przewezenie,udarnosc,granica_plast_Mpa,wytrzym_zmecz_Mpa,frac_toughness
ADI2,3.65,2.76,0.36,0.045,0.6,0.9,?,0.014,0.016,?,?,?,?,?,?,?,900,90,320,120,brak,?,?,?,?,?,350,?
ADI2,3.65,2.76,0.36,0.045,0.6,0.9,?,0.014,0.016,?,?,?,?,?,?,?,900,90,360,120,brak,?,?,?,?,?,270,?
ADI3,3.51,2.45,0.3,0.036,?,?,?,0.01,0.017,?,?,?,?,?,?,?,900,90,320,120,brak,?,?,?,?,?,290,?
ADI3,3.51,2.45,0.3,0.036,?,?,?,0.01,0.017,?,?,?,?,?,?,?,900,90,360,120,brak,?,?,?,?,?,220,?
ADI5,3.5,2.65,0.4,0.035,0.055,1.6,0.3,0.01,0.021,?,0.05,?,0.02,?,?,?,871,120,273,210,kapiel solna,1179,0.8,1.2,?,1137,?,55.2
ADI5,3.5,2.65,0.4,0.035,0.055,1.6,0.3,0.01,0.021,?,0.05,?,0.02,?,?,?,871,120,329,150,kapiel solna,1144,1.05,1.04,?,1103,?,63.1
ADI5,3.5,2.65,0.4,0.035,0.055,1.6,0.3,0.01,0.021,?,0.05,?,0.02,?,?,?,871,120,366,120,kapiel solna,1010,1.4,1.6,?,970,?,54.9
ADI5,3.5,2.65,0.4,0.035,0.055,1.6,0.3,0.01,0.021,?,0.05,?,0.02,?,?,?,871,120,385,120,kapiel solna,848,5.1,4.1,?,595,?,44.1
ADI6,3.5,2.47,0.38,0.035,0.35,1.57,0.3,0.01,0.021,?,0.05,0.5,0.02,?,?,?,871,120,260,240,kapiel solna,1438,1.6,0.9,?,1250,?,55.2
ADI6,3.5,2.47,0.38,0.035,0.35,1.57,0.3,0.01,0.021,?,0.05,0.5,0.02,?,?,?,871,120,288,210,kapiel solna,1130,2.3,11.6,?,990,?,62.5
ADI6,3.5,2.47,0.38,0.035,0.35,1.57,0.3,0.01,0.021,?,0.05,0.5,0.02,?,?,?,871,120,358,150,kapiel solna,980,3.8,2.3,?,750,?,49.6
ADI6,3.5,2.47,0.38,0.035,0.35,1.57,0.3,0.01,0.021,?,0.05,0.5,0.02,?,?,?,871,120,385,120,kapiel solna,830,5.1,5.5,?,650,?,40
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,260,30,brak,1263,?,?,?,?,?,21
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,260,60,brak,1184,?,?,?,?,?,35.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,260,120,brak,1108,?,?,?,?,?,45.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,288,30,brak,1127,?,?,?,?,?,30.7
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,288,60,brak,1032,?,?,?,?,?,49.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,288,120,brak,968,?,?,?,?,?,63
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,316,30,brak,985,?,?,?,?,?,40.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,316,60,brak,973,?,?,?,?,?,57.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,316,120,brak,871,?,?,?,?,?,58
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,343,30,brak,946,?,?,?,?,?,38.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,343,60,brak,847,?,?,?,?,?,47
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,343,120,brak,825,?,?,?,?,?,55.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,371,30,brak,872,?,?,?,?,?,32.7
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,371,60,brak,788,?,?,?,?,?,39.6
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,371,120,brak,760,?,?,?,?,?,46.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,399,30,brak,830,?,?,?,?,?,30.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,399,60,brak,707,?,?,?,?,?,36.5
ADI7,3.54,2.81,0.43,0.05,0.56,1.52,0.3,0.009,0.031,?,?,0.3,?,?,?,?,927,120,399,120,brak,691,?,?,?,?,?,39.5
ADI11,3.6,2.45,0.32,0.065,0.93,1.9,?,0.02,0.035,?,?,?,?,?,?,?,900,120,375,150,kapiel solna KNO3 i NaNO3,950,8.2,7.1,9.9,575,?,?
ADI11,3.6,2.45,0.32,0.065,0.93,1.9,?,0.02,0.035,?,?,?,?,?,?,?,900,120,330,150,kapiel solna KNO3 i NaNO3,1168,5.6,5.5,8.6,827,?,?
ADI11,3.6,2.45,0.32,0.065,0.93,1.9,?,0.02,0.035,?,?,?,?,?,?,?,900,120,270,180,kapiel solna KNO3 i NaNO3,1485,2.4,2.4,7.9,1133,?,?
ADI13,3.4,2.69,0.19,0.044,0.87,0.73,0.23,0.01,0.02,?,?,0.04,?,0.007,?,0.015,900,90,250,60,kapiel solna,1520,1.8,?,?,1410,?,?
ADI13,3.4,2.69,0.19,0.044,0.87,0.73,0.23,0.01,0.02,?,?,0.04,?,0.007,?,0.015,900,90,325,90,kapiel solna,1263,3.9,?,?,880,?,?
ADI13,3.4,2.69,0.19,0.044,0.87,0.73,0.23,0.01,0.02,?,?,0.04,?,0.007,?,0.015,900,90,375,90,kapiel solna,1075,7.1,?,?,695,?,?
ADI13,3.4,2.69,0.19,0.044,0.87,0.73,0.23,0.01,0.02,?,?,0.04,?,0.007,?,0.015,900,90,425,60,kapiel solna,862,9.2,?,?,565,?,?
ADI19,3.58,2.27,0.12,0.037,0.5,0.46,?,0.008,0.038,?,?,?,?,?,?,?,900,120,300,120,kapiel solna,1491,1.27,?,?,1240,?,?
ADI19,3.58,2.27,0.12,0.037,0.5,0.46,?,0.008,0.038,?,?,?,?,?,?,?,900,120,300,180,kapiel solna,1509,1.33,?,?,1272,?,?
ADI19,3.58,2.27,0.12,0.037,0.5,0.46,?,0.008,0.038,?,?,?,?,?,?,?,900,120,350,120,kapiel solna,1015,3.73,?,?,832,?,?
ADI19,3.58,2.27,0.12,0.037,0.5,0.46,?,0.008,0.038,?,?,?,?,?,?,?,900,120,350,120,kapiel solna,1026,3.68,?,?,840,?,?
ADI20,3.62,2.48,0.16,0.045,0.45,0.43,?,0.009,0.025,?,?,?,?,?,?,?,900,90,300,120,kapiel solna,1373,0.4,?,?,1250,?,?
ADI20,3.62,2.48,0.16,0.045,0.45,0.43,?,0.009,0.025,?,?,?,?,?,?,?,900,90,300,180,kapiel solna,1526,1.69,?,?,1268,?,?
ADI20,3.62,2.48,0.16,0.045,0.45,0.43,?,0.009,0.025,?,?,?,?,?,?,?,900,90,356,120,kapiel solna,1073,2.7,?,?,905,?,?
ADI20,3.62,2.48,0.16,0.045,0.45,0.43,?,0.009,0.025,?,?,?,?,?,?,?,900,90,356,180,kapiel solna,1095,2.98,?,?,913,?,?
ADI21,3.56,2.63,0.15,0.047,0.44,0.45,?,0.01,0.025,?,?,?,?,?,?,?,900,90,300,120,kapiel solna,1543,1.42,?,?,1313,?,?
ADI21,3.56,2.63,0.15,0.047,0.44,0.45,?,0.01,0.025,?,?,?,?,?,?,?,900,90,300,180,kapiel solna,1602,2.57,?,?,1339,?,?
ADI21,3.56,2.63,0.15,0.047,0.44,0.45,?,0.01,0.025,?,?,?,?,?,?,?,900,90,359,120,kapiel solna,1116,3.41,?,?,921,?,?
ADI21,3.56,2.63,0.15,0.047,0.44,0.45,?,0.01,0.025,?,?,?,?,?,?,?,900,90,359,180,kapiel solna,1126,3.69,?,?,924,?,?
ADI22,?,?,0.28,?,0.9,0.53,?,?,?,?,?,?,?,?,?,?,900,120,260,120,kapiel solna,1655,2,?,?,?,?,?
ADI22,?,?,0.28,?,0.9,0.53,?,?,?,?,?,?,?,?,?,?,900,120,290,120,kapiel solna,1527,2.4,?,?,?,?,?
ADI22,?,?,0.28,?,0.9,0.53,?,?,?,?,?,?,?,?,?,?,900,120,320,90,kapiel solna,1290,6.7,?,?,?,?,?
ADI22,?,?,0.28,?,0.9,0.53,?,?,?,?,?,?,?,?,?,?,900,120,360,90,kapiel solna,1116,9.6,?,?,?,?,?
ADI22,?,?,0.28,?,0.9,0.53,?,?,?,?,?,?,?,?,?,?,900,120,380,90,kapiel solna,1097,10.8,?,?,?,?,?
ADI30,3.6,2.7,0.1,?,?,?,?,0.07,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,938.8,?,?,?,?,?,?
ADI30,3.6,2.7,0.1,?,?,?,?,0.07,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,698,?,?,?,?,?,?
ADI31,3.5,2.9,0.2,?,0.5,?,?,0.09,0.03,?,?,?,?,?,?,?,900,60,270,60,brak,988.8,?,?,?,?,?,?
ADI31,3.5,2.9,0.2,?,0.5,?,?,0.09,0.03,?,?,?,?,?,?,?,900,60,370,60,brak,816.7,?,?,?,?,?,?
ADI32,3.7,2.6,0.1,?,1,?,?,0.08,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,1096.1,?,?,?,?,?,?
ADI32,3.7,2.6,0.1,?,1,?,?,0.08,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,828.3,?,?,?,?,?,?
ADI33,3.9,2.7,0.2,?,1.5,?,?,0.09,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,1222.4,?,?,?,?,?,?
ADI33,3.9,2.7,0.2,?,1.5,?,?,0.09,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,911.6,?,?,?,?,?,?
ADI34,3.6,2.7,0.1,?,?,?,?,0.08,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,938.8,?,?,?,?,?,?
ADI34,3.6,2.7,0.1,?,?,?,?,0.08,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,698,?,?,?,?,?,?
ADI35,3.7,2.8,0.2,?,?,1,?,0.09,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,970.5,?,?,?,?,?,?
ADI35,3.7,2.8,0.2,?,?,1,?,0.09,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,721.18,?,?,?,?,?,?
ADI36,3.7,2.7,0.2,?,?,2,?,0.08,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,979.7,?,?,?,?,?,?
ADI36,3.7,2.7,0.2,?,?,2,?,0.08,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,732.8,?,?,?,?,?,?
ADI37,3.8,2.7,0.2,?,?,3,?,0.08,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,1082.5,?,?,?,?,?,?
ADI37,3.8,2.7,0.2,?,?,3,?,0.08,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,917.7,?,?,?,?,?,?
ADI38,3.8,2.9,0.2,?,?,?,?,0.07,0.03,?,?,?,?,?,?,?,900,60,270,60,brak,938.8,?,?,?,?,?,?
ADI38,3.8,2.9,0.2,?,?,?,?,0.07,0.03,?,?,?,?,?,?,?,900,60,370,60,brak,698,?,?,?,?,?,?
ADI39,3.7,2.7,0.1,?,0.5,1,?,0.09,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,1034.3,?,?,?,?,?,?
ADI39,3.7,2.7,0.1,?,0.5,1,?,0.09,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,715.7,?,?,?,?,?,?
ADI40,3.6,2.8,0.1,?,1,2,?,0.08,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,1055.3,?,?,?,?,?,?
ADI40,3.6,2.8,0.1,?,1,2,?,0.08,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,738.7,?,?,?,?,?,?
ADI41,3.8,2.9,0.2,?,1.5,3,?,0.08,0.02,?,?,?,?,?,?,?,900,60,270,60,brak,1164.1,?,?,?,?,?,?
ADI41,3.8,2.9,0.2,?,1.5,3,?,0.08,0.02,?,?,?,?,?,?,?,900,60,370,60,brak,787.3,?,?,?,?,?,?
ADI42,3.52,2.87,0.22,0.051,0.73,1.55,?,0.017,0.65,?,?,?,?,?,?,?,850,120,390,90,kapiel solna KNO3 i NaNO3,1064.9,15.4,?,?,?,?,?
ADI42,3.52,2.87,0.22,0.051,0.73,1.55,?,0.017,0.65,?,?,?,?,?,?,?,840,120,380,90,kapiel solna KNO3 i NaNO3,1032.6,15.7,?,?,?,?,?
ADI42,3.52,2.87,0.22,0.051,0.73,1.55,?,0.017,0.65,?,?,?,?,?,?,?,890,120,350,120,kapiel solna KNO3 i NaNO3,1168.8,12.3,?,?,?,?,?
ADI42,3.52,2.87,0.22,0.051,0.73,1.55,?,0.017,0.65,?,?,?,?,?,?,?,880,120,340,120,kapiel solna KNO3 i NaNO3,1002.7,9.7,?,?,?,?,?
ADI42,3.52,2.87,0.22,0.051,0.73,1.55,?,0.017,0.65,?,?,?,?,?,?,?,900,120,330,120,kapiel solna KNO3 i NaNO3,1259.7,13.4,?,?,?,?,?
ADI42,3.52,2.87,0.22,0.051,0.73,1.55,?,0.017,0.65,?,?,?,?,?,?,?,910,120,320,120,kapiel solna KNO3 i NaNO3,1310,7.7,?,?,?,?,?
ADI42,3.52,2.87,0.22,0.051,0.73,1.55,?,0.017,0.65,?,?,?,?,?,?,?,950,120,290,180,kapiel solna KNO3 i NaNO3,1428.6,5.7,?,?,?,?,?
ADI42,3.52,2.87,0.22,0.051,0.73,1.55,?,0.017,0.65,?,?,?,?,?,?,?,940,120,280,180,kapiel solna KNO3 i NaNO3,1425.5,4.9,?,?,?,?,?
